trial,trial_exp,run,block,trigger,start_s,end_s,allowed,match
29,29,1,1,101,137.113000,137.115000,1,1
29,29,1,1,103,137.480000,137.482000,1,1
30,30,1,1,25,138.314000,138.316000,1,1
30,30,1,1,81,140.975000,140.977000,1,1
31,31,1,1,39,141.517000,141.519000,1,1
31,31,1,1,81,144.172000,144.174000,1,1
32,32,1,1,12,144.711000,144.713000,1,1
32,32,1,1,81,147.372000,147.374000,1,1
33,33,1,1,23,147.906000,147.908000,1,1
33,33,1,1,81,150.566000,150.568000,1,1
34,34,1,1,22,151.100000,151.102000,1,1
34,34,1,1,81,153.761000,153.763000,1,1
35,35,1,1,35,154.286000,154.288000,1,1
35,35,1,1,81,156.947000,156.949000,1,1
36,36,1,1,19,157.480000,157.482000,1,1
36,36,1,1,81,160.141000,160.143000,1,1
37,37,1,1,2,160.675000,160.677000,1,1
37,37,1,1,81,163.329000,163.331000,1,1
38,38,1,1,39,163.861000,163.863000,1,1
38,38,1,1,81,166.515000,166.517000,1,1
39,39,1,1,27,167.072000,167.074000,1,1
39,39,1,1,81,169.732000,169.734000,1,1
40,40,1,1,11,170.291000,170.293000,1,1
40,40,1,1,81,172.952000,172.954000,1,1
41,41,1,1,17,173.485000,173.487000,1,1
41,41,1,1,81,176.140000,176.142000,1,1
42,42,1,1,28,176.688000,176.690000,1,1
42,42,1,1,81,179.349000,179.351000,1,1
43,43,1,1,30,179.899000,179.901000,1,1
43,43,1,1,81,182.560000,182.562000,1,1
44,44,1,1,1,183.085000,183.087000,1,1
44,44,1,1,81,185.740000,185.742000,1,1
45,45,1,1,40,186.271000,186.273000,1,1
45,45,1,1,81,188.932000,188.934000,1,1
46,46,1,1,102,189.465000,189.467000,1,1
46,46,1,1,100,190.587000,190.589000,1,1
46,46,1,1,101,191.851000,191.853000,1,1
46,46,1,1,103,192.121000,192.123000,1,1
47,47,1,1,16,192.960000,192.962000,1,1
47,47,1,1,81,195.621000,195.623000,1,1
48,48,1,1,24,196.179000,196.181000,1,1
48,48,1,1,81,198.840000,198.842000,1,1
49,49,1,1,33,199.382000,199.384000,1,1
49,49,1,1,81,202.043000,202.045000,1,1
50,50,1,1,102,202.576000,202.578000,1,1
50,50,1,1,100,203.169000,203.171000,1,1
50,50,1,1,101,204.428000,204.430000,1,1
50,50,1,1,103,205.237000,205.239000,1,1
51,51,1,1,29,206.071000,206.073000,1,1
